Column,Metafile heading,Metafile description,Methodology changes,Null field for special schools,Null field for local authority records,Null field for National (all schools) records,Null field for National (maintained schools) records,,,,,,,,,,,,,,,,,,
198,P8PUP_AV,Number of pupils with middle prior attainment included in Progress 8 measure,,,,Yes,,,,,,,,,,,,,,,,,,,
199,P8MEA_AV,Progress 8 measure - pupils with middle prior attainment,,,,Yes,,,,,,,,,,,,,,,,,,,
200,P8CILOW_AV,Progress 8 lower 95% confidence interval - pupils with middle prior attainment,,,,Yes,,,,,,,,,,,,,,,,,,,
201,P8CIUPP_AV,Progress 8 upper 95% confidence interval - pupils with middle prior attainment,,,,Yes,,,,,,,,,,,,,,,,,,,
202,ATT8SCR_HI,Average Attainment 8 score per pupil with high prior attainment,,,,Yes,,,,,,,,,,,,,,,,,,,
203,P8PUP_HI,Number of pupils with high prior attainment included in Progress 8 measure,,,,Yes,,,,,,,,,,,,,,,,,,,
204,P8MEA_HI,Progress 8 measure - pupils with high prior attainment,,,,Yes,,,,,,,,,,,,,,,,,,,
205,P8CILOW_HI,Progress 8 lower 95% confidence interval - pupils with high prior attainment,,,,Yes,,,,,,,,,,,,,,,,,,,
206,P8CIUPP_HI,Progress 8 upper 95% confidence interval - pupils with high prior attainment,,,,Yes,,,,,,,,,,,,,,,,,,,
207,ATT8SCR_EAL,Average Attainment 8 score per pupil for whom English is an additional language,,,,Yes,,,,,,,,,,,,,,,,,,,
208,P8PUP_EAL,Number of pupils for whom English is an additional language included in Progress 8 measure,,,,Yes,,,,,,,,,,,,,,,,,,,
209,P8MEA_EAL,Progress 8 measure - pupils for whom English is an additional language,,,,Yes,,,,,,,,,,,,,,,,,,,
210,P8CILOW_EAL,Progress 8 lower 95% confidence interval - pupils for whom English is an additional language,,,,Yes,,,,,,,,,,,,,,,,,,,
211,P8CIUPP_EAL,Progress 8 upper 95% confidence interval - pupils for whom English is an additional language,,,,Yes,,,,,,,,,,,,,,,,,,,
212,ATT8SCR_GIRLS,Average Attainment 8 score per girl,,,,,,,,,,,,,,,,,,,,,,,
213,P8PUP_GIRLS,Number of girls included in Progress 8 measure,,,,Yes,,,,,,,,,,,,,,,,,,,
214,P8MEA_GIRLS,Progress 8 measure - girls,,,,Yes,,,,,,,,,,,,,,,,,,,
215,P8CILOW_GIRLS,Progress 8 lower 95% confidence interval - girls,,,,Yes,,,,,,,,,,,,,,,,,,,
216,P8CIUPP_GIRLS,Progress 8 upper 95% confidence interval - girls,,,,Yes,,,,,,,,,,,,,,,,,,,
217,ATT8SCR_BOYS,Average Attainment 8 score per boy,,,,,,,,,,,,,,,,,,,,,,,
218,P8PUP_BOYS,Number of boys included in Progress 8 measure,,,,Yes,,,,,,,,,,,,,,,,,,,
219,P8MEA_BOYS,Progress 8 measure - boys,,,,Yes,,,,,,,,,,,,,,,,,,,
220,P8CILOW_BOYS,Progress 8 lower 95% confidence interval - boys,,,,Yes,,,,,,,,,,,,,,,,,,,
221,P8CIUPP_BOYS,Progress 8 upper 95% confidence interval - boys,,,,Yes,,,,,,,,,,,,,,,,,,,
222,ATT8SCR_NMOB,Average Attainment 8 score per non-mobile pupil,,,,Yes,,,,,,,,,,,,,,,,,,,
223,P8PUP_NMOB,Number of non-mobile pupils included in Progress 8 measure,,,,Yes,,,,,,,,,,,,,,,,,,,
224,P8MEA_NMOB,Progress 8 measure - non-mobile pupils,,,,Yes,,,,,,,,,,,,,,,,,,,
225,P8CILOW_NMOB,Progress 8 lower 95% confidence interval - non-mobile pupils,,,,Yes,,,,,,,,,,,,,,,,,,,
226,P8CIUPP_NMOB,Progress 8 upper 95% confidence interval - non-mobile pupils,,,,Yes,,,,,,,,,,,,,,,,,,,
227,ATT8SCR_15,Average Attainment 8 score per pupil  - 2015 opt-in schools only,,,,,,,,,,,,,,,,,,,,,,,
228,P8PUP_15,Number of pupils included in Progress 8 measure - 2015 opt-in schools only,,,,Yes,,,,,,,,,,,,,,,,,,,
229,P8MEA_15,Progress 8 measure - 2015 opt-in schools only,,,,Yes,,,,,,,,,,,,,,,,,,,
230,P8CILOW_15,Progress 8 lower 95% confidence interval - 2015 opt-in schools only,,,,Yes,,,,,,,,,,,,,,,,,,,
231,P8CIUPP_15,Progress 8 upper 95% confidence interval - 2015 opt-in schools only,,,,Yes,,,,,,,,,,,,,,,,,,,
232,ATT8SCR_16,Average Attainment 8 score per pupil in 2016,,,,,,,,,,,,,,,,,,,,,,,
233,P8PUP_16,Number of pupils included in Progress 8 measure in 2016,,,,Yes,,,,,,,,,,,,,,,,,,,
234,P8MEA_16,Progress 8 measure in 2016,,,,Yes,,,,,,,,,,,,,,,,,,,
235,P8CILOW_16,Lower 95% confidence interval for Progress 8 measure in 2016,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
236,P8CIUPP_16,Upper 95% confidence interval for Progress 8 measure in 2016,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
237,ATT8SCR_FSM6CLA1A_16,Average Attainment 8 score per disadvantaged pupil in 2016,,,,,,,,,,,,,,,,,,,,,,,
238,P8PUP_FSM6CLA1A__16,Number of disadvantaged pupils included in Progress 8 measure in 2016,,,,Yes,,,,,,,,,,,,,,,,,,,
239,P8MEA_FSM6CLA1A__16,Progress 8 measure for disadvantaged pupils in 2016,,,,Yes,,,,,,,,,,,,,,,,,,,
240,P8CILOW_FSM6CLA1A__16,Lower 95% confidence interval for disadvantaged pupil's Progress 8 measure in 2016,,,,Yes,,,,,,,,,,,,,,,,,,,
241,P8CIUPP_FSM6CLA1A__16,Upper 95% confidence interval for disadvantaged pupil's Progress 8 measure in 2016,,,,Yes,,,,,,,,,,,,,,,,,,,
242,ATT8SCR_NFSM6CLA1A__16,Average Attainment 8 score per non-disadvantaged pupil in 2016,,,,,,,,,,,,,,,,,,,,,,,
243,P8PUP_NFSM6CLA1A__16,Number of non-disadvantaged pupils included in Progress 8 measure in 2016,,,,Yes,,,,,,,,,,,,,,,,,,,
244,P8MEA_NFSM6CLA1A__16,Progress 8 measure for non-disadvantaged pupils in 2016,,,,Yes,,,,,,,,,,,,,,,,,,,
245,P8CILOW_NFSM6CLA1A__16,Lower 95% confidence interval for non-disadvantaged pupil's Progress 8 measure in 2016,,,,Yes,,,,,,,,,,,,,,,,,,,
246,P8CIUPP_NFSM6CLA1A__16,Upper 95% confidence interval for non-disadvantaged pupil's Progress 8 measure in 2016,,,,Yes,,,,,,,,,,,,,,,,,,,
247,TEBACC_ELO_PTQ_EE,Number of pupils with low prior attainment with entries in all English Baccalaureate subject areas,,,,Yes,,,,,,,,,,,,,,,,,,,
248,PTEBACC_ELO_PTQ_EE,Percentage of pupils with low prior attainment with entries in all English Baccalaureate subject areas,,,,Yes,,,,,,,,,,,,,,,,,,,
249,PTEBACCLO_94,Percentage of pupils with low prior attainment achieving the English Baccalaureate with standard passes (grades 9-4) in both English and maths and A*-C grades in the remaining elements,Yes - see 2017 methodology sheet for methodology change,,,Yes,,,,,,,,,,,,,,,,,,,
250,PTEBACCLO_95,Percentage of pupils with low prior attainment achieving the English Baccalaureate with strong passes (grades 9-5) in both English and maths and A*-C grades in the remaining elements,Yes - see 2017 methodology sheet for methodology change,,,Yes,,,,,,,,,,,,,,,,,,,
251,TEBACC_EAV_PTQ_EE,Number of pupils with middle prior attainment with entries in all English Baccalaureate subject areas,,,,Yes,,,,,,,,,,,,,,,,,,,
252,PTEBACC_EAV_PTQ_EE,Percentage of pupils with middle prior attainment with entries in all English Baccalaureate subject areas,,,,Yes,,,,,,,,,,,,,,,,,,,
253,PTEBACCAV_94,Percentage of pupils with middle prior attainment achieving the English Baccalaureate with standard passes (grades 9-4) in both English and maths and A*-C grades in the remaining elements,Yes - see 2017 methodology sheet for methodology change,,,Yes,,,,,,,,,,,,,,,,,,,
254,PTEBACCAV_95,Percentage of pupils with middle prior attainment achieving the English Baccalaureate with strong passes (grades 9-5) in both English and maths and A*-C grades in the remaining elements,Yes - see 2017 methodology sheet for methodology change,,,Yes,,,,,,,,,,,,,,,,,,,
255,TEBACC_EHI_PTQ_EE,Number of pupils with high prior attainment with entries in all English Baccalaureate subject areas,,,,Yes,,,,,,,,,,,,,,,,,,,
256,PTEBACC_EHI_PTQ_EE,Percentage of pupils with high prior attainment with entries in all English Baccalaureate subject areas,,,,Yes,,,,,,,,,,,,,,,,,,,
257,PTEBACCHI_94,Percentage of pupils with high prior attainment achieving the English Baccalaureate with standard passes (grades 9-4) in both English and maths and A*-C grades in the remaining elements,Yes - see 2017 methodology sheet for methodology change,,,Yes,,,,,,,,,,,,,,,,,,,
258,PTEBACCHI_95,Percentage of pupils with high prior attainment achieving the English Baccalaureate with strong passes (grades 9-5) in both English and maths and A*-C grades in the remaining elements,Yes - see 2017 methodology sheet for methodology change,,,Yes,,,,,,,,,,,,,,,,,,,
259,PTEBACC_EFSM6CLA1A_PTQ_EE,Percentage of disadvantaged pupils with entries in all English Baccalaureate subject areas,,,,Yes,,,,,,,,,,,,,,,,,,,
260,PTEBACC_ENFSM6CLA1A_PTQ_EE,Percentage of non-disadvantaged pupils with entries in all English Baccalaureate subject areas,,,,Yes,,,,,,,,,,,,,,,,,,,
261,PTEBACC_94_FSM6CLA1A,Percentage of disadvantaged pupils achieving the English Baccalaureate with standard passes (grades 9-4) in both English and maths and A*-C grades in the remaining elements,Yes - see 2017 methodology sheet for methodology change,,,Yes,,,,,,,,,,,,,,,,,,,
262,PTEBACC_95_FSM6CLA1A,Percentage of disadvantaged pupils achieving the English Baccalaureate with strong passes (grades 9-5) in both English and maths and A*-C grades in the remaining elements,Yes - see 2017 methodology sheet for methodology change,,,Yes,,,,,,,,,,,,,,,,,,,
263,PTEBACC_94_NFSM6CLA1A,Percentage of non-disadvantaged pupils achieving the English Baccalaureate with standard passes (grades 9-4) in both English and maths and A*-C grades in the remaining elements,Yes - see 2017 methodology sheet for methodology change,,,Yes,,,,,,,,,,,,,,,,,,,
264,PTEBACC_95_NFSM6CLA1A,Percentage of non-disadvantaged pupils achieving the English Baccalaureate with strong passes (grades 9-5) in both English and maths and A*-C grades in the remaining elements,Yes - see 2017 methodology sheet for methodology change,,,Yes,,,,,,,,,,,,,,,,,,,
265,SCIVAMEA_LO_PTQ_EE,English Baccalaureate Science Value Added measure for pupils with low prior attainment,,,Yes,Yes,,,,,,,,,,,,,,,,,,,
266,SCIVAMEA_AV_PTQ_EE,English Baccalaureate Science Value Added measure for pupils with middle prior attainment,,,Yes,Yes,,,,,,,,,,,,,,,,,,,
267,SCIVAMEA_HI_PTQ_EE,English Baccalaureate Science Value Added measure for pupils with high prior attainment,,,Yes,Yes,,,,,,,,,,,,,,,,,,,
268,SCIVAMEA_FSM6CLA1A_PTQ_EE,English Baccalaureate Science Value Added measure for disadvantaged pupils,,,Yes,Yes,,,,,,,,,,,,,,,,,,,
269,SCIVAMEA_NFSM6CLA1A_PTQ_EE,English Baccalaureate Science Value Added measure for non-disadvantaged pupils,,,Yes,Yes,,,,,,,,,,,,,,,,,,,
270,HUMVAMEA_LO_PTQ_EE,English Baccalaureate Humanities Value Added measure for pupils with low prior attainment,,,Yes,Yes,,,,,,,,,,,,,,,,,,,
271,HUMVAMEA_AV_PTQ_EE,English Baccalaureate Humanities Value Added measure for pupils with middle prior attainment,,,Yes,Yes,,,,,,,,,,,,,,,,,,,
272,HUMVAMEA_HI_PTQ_EE,English Baccalaureate Humanities Value Added measure for pupils with high prior attainment,,,Yes,Yes,,,,,,,,,,,,,,,,,,,
273,HUMVAMEA_FSM6CLA1A_PTQ_EE,English Baccalaureate Humanities Value Added measure for disadvantaged pupils,,,Yes,Yes,,,,,,,,,,,,,,,,,,,
274,HUMVAMEA_NFSM6CLA1A_PTQ_EE,English Baccalaureate Humanities Value Added measure for non-disadvantaged pupils,,,Yes,Yes,,,,,,,,,,,,,,,,,,,
275,LANVAMEA_LO_PTQ_EE,English Baccalaureate Languages Value Added measure for pupils with low prior attainment,,,Yes,Yes,,,,,,,,,,,,,,,,,,,
276,LANVAMEA_AV_PTQ_EE,English Baccalaureate Languages Value Added measure for pupils with middle prior attainment,,,Yes,Yes,,,,,,,,,,,,,,,,,,,
277,LANVAMEA_HI_PTQ_EE,English Baccalaureate Languages Value Added measure for pupils with high prior attainment,,,Yes,Yes,,,,,,,,,,,,,,,,,,,
278,LANVAMEA_FSM6CLA1A_PTQ_EE,English Baccalaureate Languages Value Added measure for disadvantaged pupils,,,Yes,Yes,,,,,,,,,,,,,,,,,,,
279,LANVAMEA_NFSM6CLA1A_PTQ_EE,English Baccalaureate Languages Value Added measure for non-disadvantaged pupils,,,Yes,Yes,,,,,,,,,,,,,,,,,,,
280,SCIVAUPP_FSM6CLA1A_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Science Value Added measure for disadvantaged pupils,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
281,SCIVALOW_FSM6CLA1A_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Science Value Added measure for disadvantaged pupils,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
282,SCIVAUPP_NFSM6CLA1A_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Science Value Added measure for non-disadvantaged pupils,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
283,SCIVALOW_NFSM6CLA1A_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Science Value Added measure for non-disadvantaged pupils,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
284,SCIVAUPP_LO_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Science Value Added measure for pupils with low prior attainment,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
285,SCIVALOW_LO_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Science Value Added measure for pupils with low prior attainment,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
286,SCIVAUPP_AV_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Science Value Added measure for pupils with middle prior attainment,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
287,SCIVALOW_AV_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Science Value Added measure for pupils with middle prior attainment,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
288,SCIVAUPP_HI_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Science Value Added measure for pupils with high prior attainment,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
289,SCIVALOW_HI_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Science Value Added measure for pupils with high prior attainment,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
290,HUMVAUPP_FSM6CLA1A_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Humanities Value Added measure for disadvantaged pupils,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
291,HUMVALOW_FSM6CLA1A_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Humanities Value Added measure for disadvantaged pupils,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
292,HUMVAUPP_NFSM6CLA1A_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Humanities Value Added measure for non-disadvantaged pupils,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
293,HUMVALOW_NFSM6CLA1A_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Humanities Value Added measure for non-disadvantaged pupils,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
294,HUMVAUPP_LO_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Humanities Value Added measure for pupils with low prior attainment,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
295,HUMVALOW_LO_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Humanities Value Added measure for pupils with low prior attainment,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
296,HUMVAUPP_AV_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Humanities Value Added measure for pupils with middle prior attainment,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
297,HUMVALOW_AV_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Humanities Value Added measure for pupils with middle prior attainment,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
298,HUMVAUPP_HI_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Humanities Value Added measure for pupils with high prior attainment,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
299,HUMVALOW_HI_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Humanities Value Added measure for pupils with high prior attainment,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
300,LANVAUPP_FSM6CLA1A_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Languages Value Added measure for disadvantaged pupils,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
301,LANVALOW_FSM6CLA1A_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Languages Value Added measure for disadvantaged pupils,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
302,LANVAUPP_NFSM6CLA1A_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Languages Value Added measure for non-disadvantaged pupils,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
303,LANVALOW_NFSM6CLA1A_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Languages Value Added measure for non-disadvantaged pupils,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
304,LANVAUPP_LO_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Languages Value Added measure for pupils with low prior attainment,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
305,LANVALOW_LO_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Languages Value Added measure for pupils with low prior attainment,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
306,LANVAUPP_AV_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Languages Value Added measure for pupils with middle prior attainment,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
307,LANVALOW_AV_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Languages Value Added measure for pupils with middle prior attainment,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
308,LANVAUPP_HI_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Languages Value Added measure for pupils with high prior attainment,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
309,LANVALOW_HI_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Languages Value Added measure for pupils with high prior attainment,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
310,PTEBACC_E_14_PTQ,Percentage of pupils entering all English Baccalaureate subject areas in 2014,,,,,,,,,,,,,,,,,,,,,,,
311,PTEBACC_14_PTQ,Percentage of pupils achieving the English Baccalaureate in 2014,,,,,,,,,,,,,,,,,,,,,,,
312,PTEBACC_E_15_PTQ_EE,Percentage of pupils entering all English Baccalaureate subject areas in 2015,,,,,,,,,,,,,,,,,,,,,,,
313,PTEBACC_15_PTQ_EE,Percentage of pupils achieving the English Baccalaureate in 2015,,,,,,,,,,,,,,,,,,,,,,,
314,PTEBACC_E_16_PTQ_EE,Percentage of pupils entering all English Baccalaureate subject areas in 2016,,,,,,,,,,,,,,,,,,,,,,,
315,PTEBACC_16_PTQ_EE,Percentage of pupils achieving the English Baccalaureate in 2016,,,,,,,,,,,,,,,,,,,,,,,
316,PBEBACC_E_PTQ_EE,Percentage of boys with entries in all English Baccalaureate subject areas,,,,,,,,,,,,,,,,,,,,,,,
317,PBEBACC_94,Percentage of boys achieving the English Baccalaureate with standard passes (grades 9-4) in both English and maths and A*-C grades in the remaining elements,Yes - see 2017 methodology sheet for methodology change,,,,,,,,,,,,,,,,,,,,,,
318,PBEBACC_95,Percentage of boys achieving the English Baccalaureate with strong passes (grades 9-5) in both English and maths and A*-C grades in the remaining elements,Yes - see 2017 methodology sheet for methodology change,,,,,,,,,,,,,,,,,,,,,,
319,PGEBACC_E_PTQ_EE,Percentage of girls with entries in all English Baccalaureate subject areas,,,,,,,,,,,,,,,,,,,,,,,
320,PGEBACC_94,Percentage of girls achieving the English Baccalaureate with standard passes (grades 9-4) in both English and maths and A*-C grades in the remaining elements,Yes - see 2017 methodology sheet for methodology change,,,,,,,,,,,,,,,,,,,,,,
321,PGEBACC_95,Percentage of girls achieving the English Baccalaureate with strong passes (grades 9-5) in both English and maths and A*-C grades in the remaining elements,Yes - see 2017 methodology sheet for methodology change,,,,,,,,,,,,,,,,,,,,,,
322,PTEBACC_ENMOB_PTQ_EE,Percentage of non-mobile pupils with entries in all English Baccalaureate subject areas,,,,Yes,,,,,,,,,,,,,,,,,,,
323,PTEBACCNMOB_94,Percentage of non-mobile pupils achieving the English Baccalaureate with standard passes (grades 9-4) in both English and maths and A*-C grades in the remaining elements,Yes - see 2017 methodology sheet for methodology change,,,Yes,,,,,,,,,,,,,,,,,,,
324,PTEBACCNMOB_95,Percentage of non-mobile pupils achieving the English Baccalaureate with strong passes (grades 9-5) in both English and maths and A*-C grades in the remaining elements,Yes - see 2017 methodology sheet for methodology change,,,Yes,,,,,,,,,,,,,,,,,,,
325,PTEBACC_EEAL_PTQ_EE,Percentage of pupils for whom English is an additional language with entries in all English Baccalaureate subject areas,,,,Yes,,,,,,,,,,,,,,,,,,,
326,PTEBACCEAL_94,Percentage of pupils for whom English as an additional language achieving the English Baccalaureate with standard passes (grades 9-4) in both English and maths and A*-C grades in the remaining elements,Yes - see 2017 methodology sheet for methodology change,,,Yes,,,,,,,,,,,,,,,,,,,
327,PTEBACCEAL_95,Percentage of pupils for whom English as an additional language achieving the English Baccalaureate with strong passes (grades 9-5) in both English and maths and A*-C grades in the remaining elements,Yes - see 2017 methodology sheet for methodology change,,,Yes,,,,,,,,,,,,,,,,,,,
328,PTEBACC_EFSM_14_PTQ,Percentage of disadvantaged pupils entering all English Baccalaureate subject areas in 2014,,,,Yes,,,,,,,,,,,,,,,,,,,
329,PTEBACC_FSM_14_PTQ,Percentage of disadvantaged pupils achieving the English Baccalaureate in 2014,,,,Yes,,,,,,,,,,,,,,,,,,,
330,PTEBACC_ENFSM_14_PTQ,Percentage of non-disadvantaged pupils entering all English Baccalaureate subject areas in 2014,,,,Yes,,,,,,,,,,,,,,,,,,,
331,PTEBACC_NFSM_14_PTQ,Percentage  non-disadvantaged pupils achieving the English Baccalaureate in 2014,,,,Yes,,,,,,,,,,,,,,,,,,,
332,PTEBACC_EFSM6CLA1A_15_PTQ_EE,Percentage of disadvantaged pupils entering all English Baccalaureate subject areas in 2015,,,,Yes,,,,,,,,,,,,,,,,,,,
333,PTEBACC_FSM6CLA1A_15_PTQ_EE,Percentage of disadvantaged pupils achieving the English Baccalaureate in 2015,,,,Yes,,,,,,,,,,,,,,,,,,,
334,PTEBACC_ENFSM6CLA1A_15_PTQ_EE,Percentage of non-disadvantaged pupils entering all English Baccalaureate subject areas in 2015,,,,Yes,,,,,,,,,,,,,,,,,,,
335,PTEBACC_NFSM6CLA1A_15_PTQ_EE,Percentage of non-disadvantaged pupils achieving the English Baccalaureate in 2015,,,,Yes,,,,,,,,,,,,,,,,,,,
336,PTEBACC_EFSM6CLA1A_16_PTQ_EE,Percentage of disadvantaged pupils entering all English Baccalaureate subject areas in 2016,,,,Yes,,,,,,,,,,,,,,,,,,,
337,PTEBACC_FSM6CLA1A_16_PTQ_EE,Percentage of disadvantaged pupils achieving the English Baccalaureate in 2016,,,,Yes,,,,,,,,,,,,,,,,,,,
338,PTEBACC_ENFSM6CLA1A_16_PTQ_EE,Percentage of non-disadvantaged pupils entering all English Baccalaureate subject areas in 2016,,,,Yes,,,,,,,,,,,,,,,,,,,
339,PTEBACC_NFSM6CLA1A_16_PTQ_EE,Percentage of non-disadvantaged pupils achieving the English Baccalaureate in 2016,,,,Yes,,,,,,,,,,,,,,,,,,,
340,PT5EM_94,Percentage of pupils achieving 5+ A*-C/9-4 or equivalents including 9-4 in both English and mathematics GCSEs,,,,,,,,,,,,,,,,,,,,,,,
341,AC5EM14_PTQ,Percentage of pupils achieving 5+ A*-C or equivalents including A*-C in both English and mathematics GCSEs - 2014,,,,,,,,,,,,,,,,,,,,,,,
342,AC5EM15_PTQ_EE,Percentage of pupils achieving 5+ A*-C or equivalents including A*-C in both English and mathematics GCSEs - 2015,,,,,,,,,,,,,,,,,,,,,,,
343,AC5EM16_PTQ_EE,Percentage of pupils achieving 5+ A*-C or equivalents including A*-C in both English and mathematics GCSEs - 2016,,,,,,,,,,,,,,,,,,,,,,,
344,PT5EM_94_17,Percentage of pupils achieving 5+ A*-C/9-4 or equivalents including 9-4 in both English and mathematics GCSEs - 2017,,,,,,,,,,,,,,,,,,,,,,,
345,PTANYQ_PTQ_EE,Percentage of pupils achieving any qualifications,,,,,,,,,,,,,,,,,,,,,,,
346,PTL2BASICS_14_PTQ,Percentage of pupils achieving grades A*-C in both English and mathematics GCSEs in 2014,,,,,,,,,,,,,,,,,,,,,,,
347,PTL2BASICS_15_PTQ_EE,Percentage of pupils achieving grades A*-C in both English and mathematics GCSEs in 2015,,,,,,,,,,,,,,,,,,,,,,,
348,PTL2BASICS_16_PTQ_EE,Percentage of pupils achieving grades A*-C in both English and mathematics GCSEs in 2016,,,,,,,,,,,,,,,,,,,,,,,
349,PTFSM6CLA1ABASICS_94,Percentage of disadvantaged pupils achieving standard passes (grades 9-4) in both English and mathematics GCSEs,Yes - see 2017 methodology sheet for methodology change,,,Yes,,,,,,,,,,,,,,,,,,,
350,PTNOTFSM6CLA1ABASICS_94,Percentage of non-disadvantaged pupils achieving standard passes (grades 9-4) in both English and mathematics GCSEs,Yes - see 2017 methodology sheet for methodology change,,,Yes,,,,,,,,,,,,,,,,,,,
351,TBASICSLO_94,Number of pupils with low prior attainment achieving standard passes (grades 9-4) in both English and mathematics GCSEs,Yes - see 2017 methodology sheet for methodology change,,,Yes,,,,,,,,,,,,,,,,,,,
352,PTBASICSLO_94,Percentage of pupils with low prior attainment achieving standard passes (grades 9-4) in both English and mathematics GCSEs,Yes - see 2017 methodology sheet for methodology change,,,Yes,,,,,,,,,,,,,,,,,,,
353,TBASICSAV_94,Number of pupils with middle prior attainment achieving standard passes (grades 9-4) in both English and mathematics GCSEs,Yes - see 2017 methodology sheet for methodology change,,,Yes,,,,,,,,,,,,,,,,,,,
354,PTBASICSAV_94,Percentage of pupils with middle prior attainment achieving standard passes (grades 9-4) in both English and mathematics GCSEs,Yes - see 2017 methodology sheet for methodology change,,,Yes,,,,,,,,,,,,,,,,,,,
355,TBASICSHI_94,Number of pupils with high prior attainment achieving standard passes (grades 9-4) in both English and mathematics GCSEs,Yes - see 2017 methodology sheet for methodology change,,,Yes,,,,,,,,,,,,,,,,,,,
356,PTBASICSHI_94,Percentage of pupils with high prior attainment achieving standard passes (grades 9-4) in both English and mathematics GCSEs,Yes - see 2017 methodology sheet for methodology change,,,Yes,,,,,,,,,,,,,,,,,,,
357,PBL2BASICS_94,Percentage of boys achieving standard passes (grades 9-4) in both English and mathematics GCSEs,Yes - see 2017 methodology sheet for methodology change,,,,,,,,,,,,,,,,,,,,,,
358,PGL2BASICS_94,Percentage of girls achieving standard passes (grades 9-4) in both English and mathematics GCSEs,Yes - see 2017 methodology sheet for methodology change,,,,,,,,,,,,,,,,,,,,,,
359,PTL2BASICSEAL_94,Percentage of pupils for whom English as an additional language achieving standard passes (grades 9-4) in both English and mathematics GCSEs,Yes - see 2017 methodology sheet for methodology change,,,Yes,,,,,,,,,,,,,,,,,,,
360,PTL2BASICSNMOB_94,Percentage of non-mobile pupils achieving standard passes (grades 9-4) in both English and mathematics GCSEs,Yes - see 2017 methodology sheet for methodology change,,,Yes,,,,,,,,,,,,,,,,,,,
361,PTFSM6CLA1ABASICS_95,Percentage of disadvantaged pupils achieving strong passes (grades 9-5) in both English and mathematics GCSEs,Yes - see 2017 methodology sheet for methodology change,,,Yes,,,,,,,,,,,,,,,,,,,
